slug,name
accrington,Accrington Stanley
afc_wimbledon,AFC Wimbledon
aldershot,Aldershot Town
arsenal,Arsenal
aston_villa,Aston Villa
barnet,Barnet
barnsley,Barnsley
barrow,Barrow
birmingham,Birmingham City
blackburn,Blackburn Rovers
blackpool,Blackpool
bolton,Bolton Wanderers
boston,Boston United
bournemouth,Bournemouth
bradford,Bradford City
brentford,Brentford
brighton,Brighton & Hove Albion
bristol_city,Bristol City
bristol_rovers,Bristol Rovers
bromley,Bromley
burnley,Burnley
burton,Burton Albion
bury,Bury
cambridge,Cambridge United
cardiff,Cardiff City
carlisle,Carlisle United
charlton,Charlton Athletic
chelsea,Chelsea
cheltenham,Cheltenham Town
chester,Chester City
chesterfield,Chesterfield
colchester,Colchester United
coventry,Coventry City
crawley,Crawley Town
crewe,Crewe Alexandra
crystal_palace,Crystal Palace
dagenham_redbridge,Dagenham & Redbridge
darlington,Darlington
derby,Derby County
doncaster,Doncaster Rovers
everton,Everton
exeter,Exeter City
fleetwood,Fleetwood Town
forest_green,Forest Green Rovers
fulham,Fulham
gillingham,Gillingham
grimsby,Grimsby Town
halifax,Halifax Town
harrogate,Harrogate Town
hartlepool,Hartlepool United
hereford,Hereford United
huddersfield,Huddersfield Town
hull,Hull City
ipswich,Ipswich Town
kidderminster,Kidderminster Harriers
leeds,Leeds United
leicester,Leicester City
leyton_orient,Leyton Orient
lincoln,Lincoln City
liverpool,Liverpool
luton,Luton Town
macclesfield,Macclesfield Town
man_city,Manchester City
man_united,Manchester United
mansfield,Mansfield Town
middlesbrough,Middlesbrough
millwall,Millwall
mk_dons,Milton Keynes Dons
morecambe,Morecambe
newcastle,Newcastle United
newport_county,Newport County
northampton,Northampton Town
norwich,Norwich City
nottm_forest,Nottingham Forest
notts_county,Notts County
oldham,Oldham Athletic
oxford,Oxford United
peterborough,Peterborough United
plymouth,Plymouth Argyle
port_vale,Port Vale
portsmouth,Portsmouth
preston,Preston North End
qpr,Queens Park Rangers
reading,Reading
rochdale,Rochdale
rotherham,Rotherham United
rushden_diamonds,Rushden & Diamonds
salford,Salford City
scunthorpe,Scunthorpe United
sheffield_united,Sheffield United
sheffield_wednesday,Sheffield Wednesday
shrewsbury,Shrewsbury Town
southampton,Southampton
southend,Southend United
stevenage,Stevenage
stockport,Stockport County
stoke,Stoke City
sunderland,Sunderland
sutton,Sutton United
swansea,Swansea City
swindon,Swindon Town
torquay,Torquay United
tottenham,Tottenham Hotspur
tranmere,Tranmere Rovers
walsall,Walsall
watford,Watford
west_brom,West Bromwich Albion
west_ham,West Ham United
wigan,Wigan Athletic
wimbledon,Wimbledon
wolves,Wolverhampton Wanderers
wrexham,Wrexham
wycombe,Wycombe Wanderers
yeovil,Yeovil Town
york,York City
